observation_id,station_id,observed_at,temperature_c,precipitation_mm,wind_speed_kph,wind_gust_kph,visibility_km,humidity_pct,pressure_hpa
OBS001,STN001,2026-01-10 06:00:00,7.2,3.1,24,39,8.5,86,1004.2
OBS002,STN001,2026-01-10 12:00:00,8.4,1.0,28,44,10.1,79,1006.8
OBS003,STN002,2026-01-10 06:00:00,4.8,0.0,12,21,14.0,82,1011.5
OBS004,STN002,2026-01-10 12:00:00,6.1,0.2,15,25,13.6,77,1012.0
OBS005,STN003,2026-01-10 06:00:00,-2.5,4.4,38,61,2.1,91,996.3
OBS006,STN003,2026-01-10 12:00:00,-0.8,2.8,42,67,1.7,88,997.1
OBS007,STN004,2026-01-11 06:00:00,3.2,0.0,18,29,7.8,80,1009.9
OBS008,STN004,2026-01-11 12:00:00,5.6,0.1,20,34,8.4,75,1010.8
OBS009,STN005,2026-01-11 06:00:00,9.1,5.6,31,53,6.2,89,1001.4
OBS010,STN005,2026-01-11 12:00:00,10.0,7.2,36,58,5.9,92,1000.7
OBS011,STN006,2026-01-12 06:00:00,5.0,12.3,22,36,9.0,93,1003.1
OBS012,STN006,2026-01-12 12:00:00,6.4,8.8,24,38,11.4,87,1005.5
OBS013,STN007,2026-01-12 06:00:00,2.7,0.4,29,48,4.3,84,1007.6
OBS014,STN007,2026-01-12 12:00:00,4.5,0.0,33,55,6.5,78,1008.2
OBS015,STN008,2026-01-13 06:00:00,1.1,0.0,16,28,5.5,85,1013.9
OBS016,STN008,2026-01-13 12:00:00,3.9,0.0,18,30,7.1,73,1014.4
OBS017,STN009,2026-01-13 06:00:00,2.2,0.0,8,16,16.0,81,1016.2
OBS018,STN009,2026-01-13 12:00:00,5.1,0.0,10,18,18.0,70,1016.5
OBS019,STN010,2026-01-14 06:00:00,-4.1,6.0,44,72,0.8,94,991.8
OBS020,STN010,2026-01-14 12:00:00,-1.9,4.2,47,76,1.2,90,993.0
OBS021,STN011,2026-01-14 06:00:00,6.3,0.0,9,15,11.2,78,1012.7
OBS022,STN011,2026-01-14 12:00:00,8.7,0.0,11,17,13.8,69,1013.5
OBS023,STN012,2026-01-15 06:00:00,4.4,1.2,13,24,10.4,88,1009.0
OBS024,STN012,2026-01-15 12:00:00,6.0,0.6,14,23,12.9,82,1010.2
